29.0,0.07
30.0,0.02
31.0,0.01
32.0,0.29
34.0,0.02
35.0,0.04
36.0,0.12
37.0,1.31
38.0,2.29
39.0,0.95
40.0,0.17
41.0,0.07
42.0,0.04
43.0,0.11
44.0,0.1
45.0,0.07
46.0,0.04
47.0,0.03
48.0,0.21
49.0,3.48
50.0,24.54
51.0,15.74
52.0,3.66
53.0,0.33
54.0,0.06
55.0,0.09
56.0,0.05
57.0,0.07
58.0,0.08
59.0,0.01
60.0,0.4
61.0,0.97
62.0,2.09
63.0,5.75
64.0,0.85
65.0,0.09
66.0,0.04
67.0,0.04
68.0,0.03
69.0,0.01
70.0,0.04
71.0,0.02
72.0,0.12
73.0,0.9
74.0,6.48
75.0,9.66
76.0,28.62
77.0,12.34
78.0,2.59
79.0,0.7
80.0,0.17
81.0,0.23
82.0,0.13
83.0,0.04
84.0,0.08
85.0,0.36
86.0,0.73
87.0,1.01
88.0,0.97
89.0,0.9
90.0,0.76
91.0,0.27
92.0,0.08
93.0,0.12
94.0,0.05
95.0,0.07
96.0,0.07
97.0,0.48
98.0,2.63
99.0,5.52
100.0,6.61
101.0,1.76
102.0,2.64
103.0,12.48
104.0,9.36
105.0,0.83
106.0,1.54
107.0,0.52
108.0,0.7
109.0,0.06
110.0,0.09
111.0,0.08
112.0,0.12
113.0,0.08
114.0,0.29
114.0,0.13
116.0,0.94
116.0,6.97
117.0,6.45
118.0,0.33
120.0,0.08
120.0,0.02
122.0,0.04
122.0,0.09
124.0,0.44
125.0,0.53
126.0,3.99
127.0,16.01
128.0,2.61
129.0,1.94
130.0,0.74
131.0,1.72
132.0,0.37
133.0,0.08
134.0,0.02
135.0,0.02
136.0,0.03
137.0,0.03
138.0,0.02
139.0,0.02
140.0,0.08
141.0,0.15
142.0,0.59
143.0,1.01
144.0,0.58
145.0,0.07
146.0,0.01
147.0,0.02
148.0,0.02
149.0,0.06
150.0,0.03
151.0,0.07
152.0,0.47
153.0,4.56
154.0,16.38
155.0,1.86
156.0,13.24
157.0,5.05
158.0,12.38
159.0,0.93
160.0,0.08
161.0,0.04
162.0,0.06
163.0,0.05
164.0,0.06
165.0,0.08
166.0,0.04
167.0,0.1
168.0,0.04
169.0,0.05
170.0,0.09
171.0,0.04
172.0,0.04
173.0,0.03
174.0,0.04
175.0,0.05
176.0,0.02
177.0,0.07
178.0,0.13
179.0,0.37
180.0,0.18
181.0,0.53
182.0,0.59
183.0,1.13
184.0,0.51
185.0,0.96
186.0,0.05
187.0,0.05
188.0,0.03
189.0,0.03
190.0,0.05
191.0,0.04
192.0,0.06
193.0,0.03
194.0,0.04
195.0,0.07
196.0,0.04
197.0,0.03
198.0,0.05
199.0,0.04
200.0,0.01
202.0,0.02
203.0,0.05
204.0,0.06
205.0,0.79
206.0,26.42
207.0,3.83
208.0,27.47
209.0,2.91
210.0,0.21
211.0,0.03
212.0,0.03
213.0,0.06
214.0,0.01
215.0,0.03
216.0,0.03
217.0,0.03
218.0,0.03
219.0,0.03
220.0,0.01
221.0,0.03
222.0,0.08
223.0,0.03
224.0,0.02
225.0,0.07
226.0,0.03
227.0,0.04
228.0,0.05
229.0,0.01
230.0,0.01
231.0,0.25
232.0,0.86
233.0,33.79
234.0,4.99
235.0,34.53
236.0,4.06
237.0,0.25
238.0,0.03
239.0,0.02
240.0,0.02
241.0,0.03
242.0,0.04
244.0,0.02
245.0,0.02
246.0,0.02
247.0,0.02
248.0,0.05
249.0,0.03
250.0,0.01
251.0,0.01
252.0,0.02
254.0,0.02
255.0,0.02
256.0,0.02
257.0,0.05
258.0,0.01
259.0,0.03
260.0,0.04
261.0,0.01
262.0,0.03
264.0,0.06
265.0,0.0
266.0,0.02
267.0,0.03
268.0,0.05
269.0,0.03
270.0,0.07
271.0,0.04
272.0,0.05
273.0,0.02
274.0,0.02
275.0,0.03
276.0,0.02
277.0,0.05
278.0,0.04
279.0,0.02
280.0,0.01
281.0,0.04
282.0,0.06
283.0,0.03
284.0,0.17
285.0,0.41
286.0,0.48
287.0,0.81
288.0,0.42
289.0,0.42
290.0,0.14
291.0,0.04
292.0,0.03
293.0,0.02
294.0,0.05
295.0,0.03
296.0,0.03
297.0,0.03
298.0,0.03
299.0,0.03
300.0,0.04
301.0,0.03
302.0,0.03
303.0,0.01
304.0,0.05
305.0,0.06
306.0,0.01
307.0,0.03
308.0,0.02
309.0,0.02
310.0,0.03
311.0,0.69
312.0,54.72
313.0,7.45
314.0,100.0
315.0,12.48
316.0,48.28
317.0,6.05
318.0,0.35
319.0,0.01
320.0,0.04
321.0,0.03
322.0,0.03
323.0,0.01
324.0,0.04
325.0,0.03
326.0,0.03
327.0,0.04
328.0,0.01
329.0,0.05
330.0,0.04
331.0,0.04
332.0,0.01
333.0,0.02
334.0,0.05
336.0,0.03
337.0,0.03
338.0,0.03
339.0,0.05
340.0,0.01
341.0,0.05
342.0,0.02
343.0,0.01
344.0,0.04
345.0,0.04
346.0,0.03
347.0,0.04
348.0,0.04
349.0,0.06
350.0,0.03
351.0,0.04
352.0,0.04
353.0,0.04
354.0,0.05
355.0,0.06
356.0,0.04
357.0,0.06
358.0,0.02
359.0,0.03
360.0,0.01
361.0,0.03
362.0,0.01
363.0,0.02
364.0,0.0
365.0,0.0
366.0,0.03
367.0,0.02
368.0,0.01
369.0,0.04
370.0,0.01
371.0,0.05
372.0,0.03
373.0,0.03
374.0,0.02
376.0,0.02
377.0,0.03
378.0,0.01
379.0,0.01
380.0,0.03
381.0,0.02
382.0,0.01
383.0,0.04
384.0,0.08
