[MS Spectrum]
# of Peaks	679
Raw Spectrum	29.540 (scan : 7963)
Background	No Background Spectrum
Base Peak	m/z 55.10 (Inten : 50,001)
Event#	1
m/z	Absolute Intensity	Relative Intensity
344.90	27	0.05
345.90	50	0.10
346.90	39	0.08
347.90	19	0.04
348.90	31	0.06
349.90	39	0.08
350.90	66	0.13
351.90	30	0.06
352.90	31	0.06
353.90	55	0.11
354.90	31	0.06
355.90	71	0.14
356.90	3	0.01
358.90	29	0.06
359.90	34	0.07
360.90	18	0.04
362.90	31	0.06
364.90	60	0.12
365.90	46	0.09
366.90	86	0.17
367.90	21	0.04
368.90	55	0.11
370.90	57	0.11
371.90	41	0.08
372.90	49	0.10
373.90	13	0.03
375.90	81	0.16
376.90	3	0.01
380.90	13	0.03
381.90	6	0.01
382.90	5	0.01
384.90	18	0.04
385.90	11	0.02
386.90	44	0.09
387.90	60	0.12
388.90	63	0.13
390.90	34	0.07
391.90	57	0.11
392.90	13	0.03
393.90	66	0.13
395.90	34	0.07
396.90	19	0.04
397.90	13	0.03
398.90	41	0.08
399.90	14	0.03
400.90	97	0.19
401.90	38	0.08
402.90	30	0.06
404.90	18	0.04
405.90	62	0.12
406.90	42	0.08
407.90	21	0.04
408.90	8	0.02
409.90	30	0.06
410.90	54	0.11
411.90	11	0.02
412.90	55	0.11
413.90	27	0.05
414.90	3	0.01
415.90	10	0.02
416.90	406	0.81
417.90	92	0.18
419.00	908	1.82
420.00	215	0.43
421.00	457	0.91
422.00	138	0.28
423.00	26	0.05
424.00	19	0.04
425.00	46	0.09
426.00	21	0.04
427.00	16	0.03
428.00	71	0.14
429.00	76	0.15
430.00	6	0.01
431.00	62	0.12
432.00	46	0.09
433.00	46	0.09
434.00	34	0.07
435.00	57	0.11
436.00	8	0.02
439.00	82	0.16
440.00	44	0.09
441.00	5	0.01
442.00	6	0.01
443.00	8	0.02
444.00	16	0.03
445.00	10	0.02
446.00	47	0.09
447.00	22	0.04
448.00	46	0.09
449.00	26	0.05
453.00	44	0.09
454.00	68	0.14
455.00	41	0.08
457.00	21	0.04
458.00	30	0.06
459.00	55	0.11
460.00	22	0.04
461.00	13	0.03
462.00	3	0.01
463.00	81	0.16
464.00	57	0.11
465.00	18	0.04
466.00	26	0.05
467.00	16	0.03
468.00	52	0.10
469.00	31	0.06
470.00	54	0.11
471.00	41	0.08
473.00	49	0.10
474.00	66	0.13
475.00	38	0.08
476.00	57	0.11
477.00	26	0.05
478.00	41	0.08
479.00	27	0.05
480.00	24	0.05
481.00	47	0.09
482.00	19	0.04
483.00	82	0.16
484.00	27	0.05
485.00	42	0.08
486.00	36	0.07
487.00	14	0.03
489.00	46	0.09
490.00	13	0.03
491.00	18	0.04
492.00	46	0.09
493.00	39	0.08
494.00	16	0.03
494.90	13	0.03
495.90	1524	3.05
496.90	329	0.66
497.90	4337	8.67
498.95	931	1.86
499.90	4351	8.70
500.90	898	1.80
501.95	1382	2.76
502.90	308	0.62
503.90	46	0.09
504.90	39	0.08
505.90	44	0.09
506.90	22	0.04
507.90	5	0.01
508.90	10	0.02
509.90	70	0.14
510.90	58	0.12
511.90	2	0.00
514.90	31	0.06
515.90	41	0.08
516.90	21	0.04
517.90	16	0.03
520.90	41	0.08
521.90	18	0.04
522.90	44	0.09
523.90	24	0.05
524.90	11	0.02
525.90	102	0.20
526.90	33	0.07
527.90	10	0.02
529.90	33	0.07
530.90	68	0.14
531.90	22	0.04
533.90	14	0.03
534.90	52	0.10
535.90	76	0.15
536.90	26	0.05
537.90	55	0.11
538.90	19	0.04
539.90	33	0.07
540.90	58	0.12
541.90	8	0.02
542.90	11	0.02
543.90	8	0.02
544.90	8	0.02
545.90	38	0.08
546.90	58	0.12
547.90	11	0.02
548.90	2	0.00
549.90	27	0.05
551.90	62	0.12
553.90	41	0.08
554.90	44	0.09
555.90	31	0.06
556.90	27	0.05
557.90	39	0.08
558.90	57	0.11
559.90	73	0.15
560.90	13	0.03
561.90	16	0.03
562.90	33	0.07
563.90	27	0.05
564.90	30	0.06
566.90	13	0.03
567.90	21	0.04
568.90	18	0.04
569.90	3	0.01
571.90	44	0.09
572.90	34	0.07
573.90	76	0.15
574.90	46	0.09
576.90	55	0.11
577.90	24	0.05
578.90	16	0.03
580.90	36	0.07
581.90	29	0.06
583.90	84	0.17
585.90	62	0.12
586.90	5	0.01
587.90	26	0.05
588.90	21	0.04
591.90	65	0.13
592.90	66	0.13
596.90	24	0.05
597.90	11	0.02
601.90	52	0.10
602.90	55	0.11
603.90	30	0.06
604.90	18	0.04
605.90	95	0.19
606.90	31	0.06
607.90	81	0.16
608.90	6	0.01
610.90	55	0.11
612.90	90	0.18
613.90	38	0.08
617.90	3	0.01
618.90	14	0.03
619.90	26	0.05
622.90	22	0.04
623.90	24	0.05
624.90	57	0.11
625.90	34	0.07
627.90	24	0.05
628.90	2	0.00
629.90	34	0.07
630.90	8	0.02
632.90	24	0.05
633.90	36	0.07
634.90	24	0.05
635.90	55	0.11
636.90	52	0.10
638.90	58	0.12
639.90	22	0.04
640.90	10	0.02
643.90	54	0.11
644.90	95	0.19
645.90	5	0.01
648.90	5	0.01
649.90	36	0.07
650.90	5	0.01
652.90	18	0.04
653.90	38	0.08
654.90	73	0.15
655.90	63	0.13
656.90	19	0.04
657.90	49	0.10
658.90	24	0.05
659.90	34	0.07
660.90	39	0.08
662.90	19	0.04
663.90	94	0.19
664.90	49	0.10
665.90	2	0.00
666.90	42	0.08
668.90	34	0.07
669.90	74	0.15
670.90	3	0.01
672.90	13	0.03
674.90	68	0.14
675.90	22	0.04
676.90	30	0.06
678.90	82	0.16
679.90	66	0.13
680.90	31	0.06
681.90	42	0.08
682.90	71	0.14
683.90	71	0.14
684.90	18	0.04
685.90	11	0.02
686.90	42	0.08
687.90	13	0.03
688.90	60	0.12
689.90	29	0.06
690.90	47	0.09
691.90	11	0.02
692.90	26	0.05
693.90	8	0.02
694.90	27	0.05
695.90	36	0.07
696.90	46	0.09
697.90	66	0.13
699.90	3	0.01
700.90	58	0.12
701.90	26	0.05
702.90	24	0.05
705.90	44	0.09
706.90	46	0.09
707.90	46	0.09
710.90	33	0.07
711.90	70	0.14
712.90	41	0.08
713.90	13	0.03
714.90	30	0.06
715.90	62	0.12
716.90	57	0.11
717.90	60	0.12
718.90	8	0.02
719.90	3	0.01
720.90	55	0.11
721.90	60	0.12
722.90	8	0.02
724.90	5	0.01
725.90	46	0.09
726.90	84	0.17
727.90	76	0.15
729.90	39	0.08
730.90	49	0.10
731.90	6	0.01
732.90	63	0.13
734.90	16	0.03
735.90	41	0.08
736.90	22	0.04
737.90	22	0.04
739.90	16	0.03
741.90	84	0.17
742.90	46	0.09
744.90	21	0.04
745.90	50	0.10
746.90	71	0.14
747.90	16	0.03
748.90	62	0.12
749.90	62	0.12
750.90	29	0.06
751.90	31	0.06
752.90	27	0.05
753.90	6	0.01
754.90	27	0.05
755.90	14	0.03
757.90	21	0.04
759.90	13	0.03
761.90	13	0.03
762.90	18	0.04
763.90	29	0.06
764.90	26	0.05
