[MS Spectrum]
# of Peaks	429
Raw Spectrum	11.097 (scan : 2430)
Background	No Background Spectrum
Base Peak	m/z 74.05 (Inten : 827,189)
Event#	1
181.90	49	0.01
182.90	50	0.01
183.90	33	0.00
185.90	24	0.00
186.90	29	0.00
187.90	2	0.00
188.90	31	0.00
189.90	29	0.00
190.90	41	0.00
191.90	10	0.00
192.90	54	0.01
193.90	38	0.00
194.90	60	0.01
195.90	27	0.00
196.90	24	0.00
197.90	19	0.00
198.90	16	0.00
199.90	18	0.00
200.90	27	0.00
201.90	39	0.00
202.90	31	0.00
203.90	3	0.00
204.90	34	0.00
205.90	57	0.01
206.90	114	0.01
207.95	506	0.06
208.95	5726	0.69
209.95	890	0.11
210.95	5241	0.63
212.00	454	0.05
213.00	58	0.01
214.00	42	0.01
215.00	8	0.00
216.00	38	0.00
217.00	5	0.00
218.00	42	0.01
219.00	39	0.00
220.00	2	0.00
221.00	5	0.00
222.00	6	0.00
223.00	62	0.01
224.00	5	0.00
225.00	36	0.00
226.00	21	0.00
227.00	36	0.00
228.00	30	0.00
229.00	21	0.00
231.00	29	0.00
232.00	27	0.00
233.00	47	0.01
234.00	6	0.00
235.00	13	0.00
236.00	21	0.00
238.00	16	0.00
239.00	34	0.00
241.00	30	0.00
242.00	49	0.01
243.00	26	0.00
244.00	33	0.00
245.00	18	0.00
246.00	41	0.00
247.00	18	0.00
249.00	31	0.00
250.00	22	0.00
251.00	3	0.00
252.00	21	0.00
253.00	10	0.00
254.00	30	0.00
255.00	38	0.00
256.00	34	0.00
257.00	21	0.00
258.00	19	0.00
259.00	6	0.00
260.00	46	0.01
261.00	41	0.00
262.00	50	0.01
263.00	14	0.00
264.00	6	0.00
265.00	31	0.00
266.00	26	0.00
267.00	11	0.00
268.00	10	0.00
269.00	19	0.00
270.00	29	0.00
271.00	29	0.00
272.00	13	0.00
273.00	8	0.00
274.00	11	0.00
275.00	19	0.00
276.00	18	0.00
277.00	10	0.00
278.00	26	0.00
279.00	22	0.00
280.00	38	0.00
281.00	36	0.00
284.00	5	0.00
285.00	27	0.00
286.00	6	0.00
287.00	29	0.00
288.00	24	0.00
289.00	11	0.00
290.00	27	0.00
292.00	3	0.00
293.00	10	0.00
294.00	13	0.00
295.00	38	0.00
297.00	33	0.00
298.00	31	0.00
299.00	8	0.00
300.00	18	0.00
301.00	10	0.00
303.00	5	0.00
304.00	22	0.00
305.00	5	0.00
306.00	8	0.00
308.00	34	0.00
309.00	19	0.00
310.00	22	0.00
311.00	21	0.00
312.00	30	0.00
313.00	41	0.00
314.00	2	0.00
315.00	14	0.00
316.00	41	0.00
317.00	18	0.00
318.00	24	0.00
319.00	14	0.00
320.00	5	0.00
321.00	8	0.00
322.00	27	0.00
323.00	49	0.01
324.00	29	0.00
325.00	26	0.00
326.00	31	0.00
327.00	21	0.00
328.00	34	0.00
329.00	16	0.00
330.00	30	0.00
331.00	18	0.00
332.00	34	0.00
333.00	24	0.00
334.00	30	0.00
335.00	31	0.00
336.00	18	0.00
337.00	24	0.00
339.00	3	0.00
340.00	10	0.00
341.00	18	0.00
343.00	26	0.00
344.00	6	0.00
345.00	26	0.00
346.00	26	0.00
347.00	39	0.00
348.00	24	0.00
349.00	21	0.00
350.00	26	0.00
351.00	13	0.00
352.00	3	0.00
353.00	21	0.00
354.00	33	0.00
355.00	5	0.00
356.00	21	0.00
357.00	11	0.00
358.00	19	0.00
359.00	14	0.00
361.00	31	0.00
362.00	3	0.00
363.00	31	0.00
364.00	19	0.00
365.00	31	0.00
366.00	10	0.00
367.00	8	0.00
368.00	3	0.00
369.00	24	0.00
371.00	19	0.00
374.00	19	0.00
376.00	57	0.01
377.00	24	0.00
378.00	29	0.00
379.00	14	0.00
380.00	6	0.00
381.00	36	0.00
382.00	21	0.00
383.00	46	0.01
384.00	41	0.00
385.00	14	0.00
386.00	31	0.00
387.00	27	0.00
389.00	21	0.00
390.00	10	0.00
392.00	3	0.00
393.00	2	0.00
394.00	18	0.00
395.00	41	0.00
396.00	27	0.00
397.00	27	0.00
398.00	16	0.00
399.00	11	0.00
400.00	36	0.00
401.00	14	0.00
402.00	38	0.00
403.00	46	0.01
404.00	21	0.00
405.00	34	0.00
408.00	16	0.00
410.00	27	0.00
411.00	36	0.00
412.00	38	0.00
413.00	21	0.00
414.00	29	0.00
415.00	13	0.00
416.00	30	0.00
417.00	30	0.00
419.00	3	0.00
420.00	24	0.00
421.00	19	0.00
422.00	26	0.00
423.00	8	0.00
424.00	19	0.00
425.00	19	0.00
427.00	16	0.00
428.00	18	0.00
429.00	33	0.00
430.00	14	0.00
431.00	49	0.01
432.00	10	0.00
433.00	14	0.00
434.00	18	0.00
435.00	14	0.00
438.00	8	0.00
439.00	8	0.00
442.00	19	0.00
443.00	8	0.00
444.00	24	0.00
445.00	22	0.00
446.00	6	0.00
447.00	22	0.00
448.00	13	0.00
449.00	24	0.00
451.00	27	0.00
452.00	11	0.00
454.00	18	0.00
457.00	13	0.00
458.00	38	0.00
459.00	18	0.00
460.00	11	0.00
461.00	26	0.00
462.00	33	0.00
463.00	38	0.00
464.00	26	0.00
465.00	16	0.00
466.00	8	0.00
467.00	2	0.00
468.00	14	0.00
469.00	13	0.00
470.00	11	0.00
471.00	22	0.00
472.00	3	0.00
473.00	5	0.00
475.00	11	0.00
476.00	46	0.01
477.00	2	0.00
478.00	13	0.00
479.00	21	0.00
481.00	38	0.00
482.00	13	0.00
483.00	24	0.00
484.00	6	0.00
485.00	3	0.00
487.00	50	0.01
490.00	14	0.00
491.00	11	0.00
492.00	16	0.00
494.00	5	0.00
497.00	31	0.00
498.00	22	0.00
499.00	10	0.00
500.00	3	0.00
