[MS Spectrum]
# of Peaks	429
Raw Spectrum	11.097 (scan : 2430)
Background	No Background Spectrum
Base Peak	m/z 74.05 (Inten : 827,189)
Event#	1
m/z	Absolute Intensity	Relative Intensity
29.05	61784	7.47
30.05	5638	0.68
31.05	18125	2.19
32.10	1246	0.15
33.05	2492	0.30
34.05	1549	0.19
35.00	663	0.08
36.00	44	0.01
37.00	1745	0.21
38.05	7071	0.85
39.00	103447	12.51
40.05	20735	2.51
41.05	248349	30.02
42.05	79058	9.56
43.00	166273	20.10
44.05	9840	1.19
45.00	22943	2.77
46.00	546	0.07
47.15	347	0.04
48.05	8175	0.99
49.00	2594	0.31
50.00	2490	0.30
51.00	5182	0.63
52.05	2492	0.30
53.05	22808	2.76
54.05	12132	1.47
55.05	141993	17.17
56.05	8742	1.06
57.05	7119	0.86
58.05	3301	0.40
59.00	164194	19.85
60.05	5166	0.62
61.00	1665	0.20
62.00	727	0.09
63.00	1234	0.15
64.00	314	0.04
65.05	4105	0.50
66.05	1837	0.22
67.05	21959	2.65
68.15	16317	1.97
69.10	312066	37.73
70.05	19281	2.33
71.05	4790	0.58
72.15	1037	0.13
73.15	17861	2.16
74.05	827189	100.00
75.05	37570	4.54
76.05	4389	0.53
77.00	462	0.06
78.00	122	0.01
79.00	2225	0.27
79.95	1497	0.18
81.00	3455	0.42
81.95	1614	0.20
83.05	2713	0.33
84.15	398	0.05
85.05	9409	1.14
86.15	2817	0.34
87.05	196875	23.80
88.05	9688	1.17
89.05	1081	0.13
90.00	68	0.01
91.00	127	0.02
91.90	258	0.03
92.95	6182	0.75
93.95	631	0.08
94.95	7523	0.91
96.15	2870	0.35
97.05	145050	17.54
98.05	9596	1.16
99.10	1180	0.14
100.15	1362	0.16
101.05	51750	6.26
102.05	3137	0.38
103.10	327	0.04
103.90	66	0.01
104.90	742	0.09
105.95	1559	0.19
106.95	17127	2.07
107.95	1825	0.22
108.90	15902	1.92
109.90	404	0.05
110.90	332	0.04
111.90	54	0.01
113.05	1905	0.23
114.00	148	0.02
115.05	771	0.09
116.10	103	0.01
117.10	132	0.02
117.90	55	0.01
118.90	1050	0.13
119.95	463	0.06
120.95	2270	0.27
122.00	516	0.06
122.95	1267	0.15
124.00	100	0.01
125.00	92	0.01
126.00	27	0.00
127.10	654	0.08
128.15	1186	0.14
129.10	87887	10.62
130.10	6777	0.82
131.05	627	0.08
131.95	734	0.09
133.00	490	0.06
133.95	968	0.12
135.00	1086	0.13
135.95	369	0.04
136.95	682	0.08
137.90	46	0.01
138.90	95	0.01
140.90	79	0.01
141.90	11	0.00
142.90	19	0.00
143.90	14	0.00
144.90	22	0.00
145.90	36	0.00
147.05	341	0.04
147.95	5811	0.70
149.00	9153	1.11
149.95	6209	0.75
151.00	8142	0.98
152.00	522	0.06
153.00	127	0.02
154.00	84	0.01
155.00	81	0.01
157.00	10	0.00
158.00	19	0.00
159.00	10	0.00
160.00	8	0.00
161.00	29	0.00
162.00	22	0.00
163.00	19	0.00
163.90	8	0.00
164.95	840	0.10
165.90	49	0.01
166.95	812	0.10
167.90	31	0.00
168.90	10	0.00
169.90	22	0.00
170.90	29	0.00
171.90	21	0.00
172.90	5	0.00
173.90	8	0.00
174.90	126	0.02
176.05	1895	0.23
176.95	56228	6.80
178.00	5353	0.65
178.95	55842	6.75
179.95	3629	0.44
180.90	209	0.03
